Date,sentiment,tweet_cnt
2021-02-05,0.13216092089728454,1
2021-02-06,0.14491012812690665,1
2021-02-07,0.15258247524752475,1
2021-02-08,0.164795200991677,1
2021-02-09,0.1597231724137931,1
2021-02-10,0.17440363017583663,1
2021-02-13,0.1615447264770241,1
2021-02-14,0.268058692940883,1
2021-02-15,0.3364311545904106,1
2021-02-18,0.16163877551020409,1
2021-02-19,0.14928940499889407,1
2021-02-22,0.127807379349046,1
2021-02-28,0.13357233782129743,1
2021-03-11,0.07596036866359447,1
2021-03-12,0.1297553148100943,1
2021-04-05,0.16712753755120618,1
2021-04-06,0.17479214477211796,1
2021-04-07,0.16402542708591236,1
2021-04-08,0.17062844919786097,1
2021-04-09,0.1335648345323741,1
2021-04-10,0.16003667414609823,1
2021-04-11,0.18172363903874447,1
2021-04-12,0.1487756490134995,1
2021-04-17,0.2585027027027027,1
2021-04-18,0.146467841971113,1
2021-04-19,0.155970922787857,2
2021-04-20,0.16083372835004556,1
2021-04-21,0.12455791253381425,1
2021-04-22,0.13449929439435515,1
2021-04-23,0.12766245524296677,1
2021-04-24,0.159897975708502,1
2021-05-25,0.1601984659293614,1
2021-05-26,0.12678764801959982,1
2021-05-27,0.155488295687885,1
2021-05-28,0.14252619001734437,1
2021-05-29,0.124935085384786,1
2021-06-20,0.27539148624267024,1
2021-06-21,0.22874378489779293,1
2021-06-22,0.20343169798613117,2
2021-06-23,0.22875085836909873,1
2021-07-02,0.24832390803305415,1
2021-07-03,0.3150797876523791,1
2021-07-04,0.30944971895267304,2
2021-07-05,0.30043685385474,1
2021-07-16,0.13960711711711712,1
2021-07-17,0.2006704329084643,2
2021-07-18,0.08985032607211924,2
2021-07-19,0.18785848657843093,2
2021-07-20,0.18900272122082273,3
2021-07-21,0.21055604063148692,2
2021-07-22,0.251068745769004,2
2021-07-23,0.30361031534678845,3
2021-07-24,0.2846739747974437,2
2021-07-25,0.25559061073305195,1
2021-07-26,0.1745166155429177,2
2021-07-27,0.2638971322053341,1
2021-07-28,0.2377128849009102,1
2021-07-29,0.3871676631291373,1
2021-07-30,0.23980287518106774,2
2021-08-04,0.21285707839819515,1
2021-08-05,0.22137655457595382,1
2021-08-06,0.2638937918099406,1
2021-08-07,0.2379207796147429,1
2021-08-08,0.28377602416708086,2
2021-08-09,0.3562741892674903,1
2021-08-14,0.3552920889083863,1
2021-08-15,0.2977465562340144,2
2021-08-16,0.3197809583208735,2
2021-08-17,0.3412013008656892,2
2021-08-18,0.35402846063543025,2
2021-08-19,0.2783416004457109,3
2021-08-20,0.2928726551057461,2
2021-08-21,0.2823060852855051,1
2021-08-23,0.2516346758069123,1
2021-08-24,0.2973484370934771,1
2021-08-25,0.4508537391841889,2
2021-08-26,0.32295802089027925,2
2021-09-10,0.27554093577201194,1
2021-10-18,0.27565148631932235,2
2021-10-19,0.30060882840007136,3
2021-10-20,0.24388716835359645,1
2021-10-21,0.25640769442411826,2
2021-10-22,0.30541658746783384,2
2021-10-23,0.3219415258122065,2
2021-10-27,0.1966189607190109,1
2021-10-28,0.2546369116035391,1
2021-10-29,0.26483338644960014,2
2021-11-04,0.2868748968336612,1
2021-11-05,0.28439161562236587,1
2021-11-06,0.3106976127309617,2
2021-11-11,0.26961833845533784,1
2021-11-12,0.26638918386389115,2
2021-11-18,0.21792113628532567,2
2021-11-19,0.2353990838167263,2
2021-11-24,0.2344770014099953,1
2021-11-25,0.34818578322157334,2
2021-11-26,0.25062290258040065,2
2021-12-11,0.23343319453697534,1
2021-12-17,0.2707983609765644,1
2021-12-29,0.17577506631299736,1
2021-12-30,0.24058502072704083,1
2022-01-11,0.2556021355377594,1
2022-01-12,0.275954983441159,2
2022-01-13,0.25816553219065974,2
2022-01-14,0.25812706481666237,2
2022-01-19,0.2121150558126872,1
2022-01-20,0.23539863572496939,1
2022-01-21,0.1707276881909333,2
2022-01-22,0.20493775224566535,1
2022-02-09,0.24485976761648817,1
2022-02-14,0.22567432685115932,1
2022-02-15,0.24648952434881088,1
2022-02-16,0.22554601919819312,1
2022-02-17,0.22755229658352472,2
2022-02-18,0.2329070433666337,2
2022-03-02,0.23551575113446382,1
2022-03-06,0.25237414762083177,1
2022-03-07,0.23449681653402224,1
2022-03-08,0.1932670445617121,2
2022-03-09,0.2389272021706209,1
2022-03-10,0.25088309957076355,1
2022-03-14,0.2230058873002523,1
2022-03-15,0.24806604637847124,1
2022-03-16,0.21860162246429682,2
2022-03-17,0.21570662240234545,1
2022-03-18,0.2085084028376953,1
2022-03-19,0.32012134987893465,1
2022-03-20,0.2784150719404781,1
2022-03-21,0.24799212501321308,1
2022-03-22,0.15070481927710844,1
2022-03-23,0.2237772895896128,1
2022-03-24,0.21231171201630206,2
2022-04-13,0.2291874415570295,1
2022-04-14,0.24039413406974464,2
2022-04-15,0.26716544226407657,1
2022-04-16,0.282828908814876,2
2022-04-17,0.18982284192525656,2
2022-04-18,0.24235075721623972,2
2022-04-19,0.28726904014754284,2
2022-04-20,0.2150889655172414,1
2022-04-21,0.2987142566506105,2
2022-04-22,0.23913559472670717,1
2022-04-27,0.22159801548886737,1
2022-04-28,0.24932702220459954,1
2022-04-29,0.2327885498860249,1
2022-04-30,0.22818746270026968,2
2022-05-01,0.25077819927374373,2
2022-05-02,0.2429855477354537,1
2022-05-10,0.1932145013360295,1
2022-05-11,0.13767097550540164,1
2022-05-12,0.1462685270969193,1
2022-05-13,0.20103569726429157,3
2022-05-22,0.24047137546468403,1
2022-05-23,0.2422392252803262,1
2022-05-24,0.1928715468318842,1
2022-05-25,0.10805081473115422,2
2022-05-26,0.14142523189356318,1
2022-05-27,0.18723237099317067,2
2022-05-28,0.20075876748428947,1
2022-05-29,0.20940511376964577,1
2022-05-30,0.21581434222483561,1
2022-05-31,0.21845908179528042,1
2022-06-01,0.20220859475213493,2
2022-06-02,0.1905033649075327,1
2022-06-03,0.20775833166433005,1
2022-06-04,0.21137856195668187,1
2022-06-14,0.14854719268742178,2
2022-06-15,0.157822867591076,2
2022-06-17,0.14907934368424045,1
2022-06-18,0.11481962252079334,1
2022-06-19,0.13079007778011353,1
2022-06-23,0.17700519056000574,1
2022-06-24,0.15872080512351328,1
2022-06-25,0.184927067820487,1
2022-06-26,0.20455573029358395,2
2022-06-28,0.1800716433714528,1
2022-06-29,0.1866992497312332,2
2022-07-02,0.175950210808739,1
2022-07-03,0.18955365348936778,1
2022-07-11,0.18463377320185614,1
2022-07-12,0.18821352663263075,2
2022-07-13,0.1578960023051958,1
2022-07-14,0.19427796566530153,2
2022-07-15,0.2013434738848135,2
2022-07-16,0.19916388005951466,2
2022-07-17,0.1767642846768337,1
2022-08-30,0.17291726435152374,1
2022-08-31,0.17826728292499916,2
2022-09-01,0.17827487252419438,1
2022-09-02,0.1574246168005256,2
2022-09-03,0.1803928780487805,1
2022-09-04,0.16418428844317096,1
2022-09-11,0.18603463284642716,1
2022-09-12,0.200952920080528,2
2022-09-13,0.15742351150091016,1
2022-09-14,0.18459265043196202,2
2022-10-09,0.20306493958631988,1
2022-10-10,0.18054874749498998,1
2022-10-11,0.1760555012040939,1
2022-10-12,0.1719817332721349,2
2022-10-13,0.17292760054719564,1
2022-10-14,0.18131330635926407,1
2022-10-15,0.18166837819407114,1
2022-11-07,0.178380411311054,1
2022-11-08,0.08464741605144081,1
2022-11-09,0.11316030013100957,1
2022-11-10,0.16678395491338224,1
2022-11-11,0.12456819646547498,2
2022-11-13,0.12046811997526284,1
2022-11-14,0.14852268638965288,1
2022-11-15,0.12936324163286003,1
2022-11-16,0.3277839037479357,2
2022-11-20,0.10090328573886118,1
2022-11-21,0.12643439171122994,1
2022-12-24,0.21568014195838037,1
2022-12-25,0.1750337524464741,1
2022-12-26,0.12557641025641025,1
2022-12-27,0.1679372711303299,2
2023-01-06,0.18273787156796006,1
2023-01-07,0.1582181594119977,1
2023-01-08,0.14708429442100326,1
2023-01-09,0.1568885396534771,1
2023-02-25,0.14607592756183743,1
2023-02-26,0.18449788587297322,1
2023-02-27,0.1503255542509842,1
2023-02-28,0.14915026052267363,1
2023-03-01,0.17246290836912664,1
2023-03-02,0.14481950589450943,1
2023-03-03,0.1239462229034377,1
2023-03-04,0.15244353639100408,1
2023-03-05,0.1465861888841281,2
